Month,Year,Month_n,Control,Drought
November,2022,11,0.2611319018404908,0.20092883435582823
December,2022,12,0.3287061827956989,0.30395645161290324
January,2023,1,0.35463924731182794,0.35087069892473116
February,2023,2,0.3391684523809524,0.32234196428571427
March,2023,3,0.3632524193548387,0.3530185483870968
April,2023,4,0.3071272222222222,0.3000602777777778
May,2023,5,0.23298413978494623,0.24451854838709677
June,2023,6,0.20476666666666665,0.23793333333333333
November,2023,11,0.1343003232441963,0.13993483146067415
December,2023,12,0.20644462365591398,0.15091559139784946
All,2023,13,0.31647221276595744,0.30454182978723404
January,2024,1,0.3258456989247312,0.2617470430107527
February,2024,2,0.34123189655172415,0.2883586206896552
March,2024,3,0.31178790322580646,0.2553309139784946
April,2024,4,0.25484833333333334,0.22664916666666668
May,2024,5,0.22085887096774193,0.21480725806451614
June,2024,6,0.20726666666666668,0.20993333333333333
November,2024,11,0.18638295880149813,0.20314536516853932
December,2024,12,0.3237729498164015,0.2965031982942431
All,2024,13,0.2571475997322097,0.2194876712328767
January,2025,1,0.2989491935483871,0.258033938172043
February,2025,2,0.3319782738095238,0.2908086153846154
March,2025,3,0.28240645161290323,0.23799112903225808
April,2025,4,0.2298575,0.21359777777777778
May,2025,5,0.2016255376344086,0.19766370967741936
June,2025,6,0.18923333333333334,0.19163333333333332
All,2025,13,0.2640720802919708,0.23922258657524717
